registeration_number	name	establied_date	country	number_of_employes	purpose	phone_number	email	bank_name	bank_country	open_new_credit_in_6_months	ammount_in_6_months	new_credit_in_12_months	new_credit_in_18_months	ammount_in_12_months	ammount_in_18_months	house_mortage	amount_of_house_mortage	amount_duee_mortage	house_property	total_house_amount	credit_card_number	actual_debit_credit_cards	monthly_income	savings	other_savings
8235535e-0873-43ef-91ca-879383cf8377	Mirtronics Inc.	5/2/1962	Canada	29	office	556-124-9965	info@mirtronicsinc.org	Idea Bank Spółka Akcyjna	Poland	3	$9,030,236,387.00	3.0	10.0	$34,919,067,825.00	$71,766,242,523.00	9	$4,394,722,533.00	25767887214.0	2	$68,393,798,796.00	4024007178136221	2.0	$37,626,685,788.00	$96,023,976,506.00	$17,460,023,818.00
5afc22ee-ddc7-4af4-a3c4-96fcda87373a	Amvescap plc	2/11/1965	United Kingdom	35	office	484-276-7725	contact@amvescapplc.org	Idea Bank Spółka Akcyjna	Poland	4	$55,083,920,164.00	3.0	10.0	$68,707,938,017.00	$3,561,556,498.00	6	$97,151,049,513.00	52603865103.0	4	$75,584,878,924.00	4485443698980107	3.0	$17,483,353,986.00	$33,557,021,577.00	$21,567,003,444.00
2d3d1c8b-3cc1-4850-a919-ba4d6cb09075	Tele Sudeste Celular Participacoes S.A.	3/4/1976	Brazil	7	office	978-489-1684	contact@telesudestecelularparticipacoessa.org	Idea Bank Spółka Akcyjna	Poland	7	$49,181,613,664.00	9.0	6.0	$62,087,962,411.00	$91,112,826,087.00	7	$80,487,792,255.00	30733282943.0	5	$44,645,584,145.00	4539767115817708	9.0	$49,293,979,154.00	$5,549,351,130.00	$4,012,444,999.00
85a596b8-e7a4-45ee-ac04-38dd58a04154	Trivalence Mining Corp.	4/24/1963	Canada	25	office	436-123-3850	hr@trivalenceminingcorp.org	Idea Bank Spółka Akcyjna	Poland	3	$25,460,051,616.00	0.0	7.0	$12,094,861,890.00	$82,660,025,346.00	6	$82,779,813,336.00	12573056327.0	5	$69,991,282,533.00	4556455908810217	6.0	$5,846,855,901.00	$22,301,610,255.00	$464,955,204.00
d8888f05-57a7-41b8-8349-316e03e7c211	IMP Industrial Mineral Park Mining Corp.	8/21/1992	Canada	45	office	882-576-3134	marketing@impindustrialmineralparkminingcorp.org	Idea Bank Spółka Akcyjna	Poland	2	$98,791,000,525.00	5.0	0.0	$61,991,318,342.00	$63,728,273,643.00	6	$10,601,410,135.00	92356008037.0	6	$49,209,876,730.00	4024007199548396	5.0	$6,130,846,193.00	$59,652,975,999.00	$5,266,625,155.00
7f2d17d3-13fd-4f18-a678-5805ab5fa44d	Haemacure Corp.	12/8/1993	Canada	29	office	757-765-4803	info@haemacurecorp.org	Idea Bank Spółka Akcyjna	Poland	6	$17,148,379,011.00	8.0	0.0	$11,305,436,590.00	$67,406,132,166.00	7	$9,216,968,227.00	55731952200.0	4	$28,349,736,338.00	4024007114364184	3.0	$43,657,359,897.00	$47,968,529,325.00	$16,262,937,497.00
bb958bd0-5f24-4346-80f3-6615a1ebfd59	Forbes Medi-Tech Inc.	1/5/1994	Canada	38	office	502-154-4493	marketing@forbesmeditechinc.org	Idea Bank Spółka Akcyjna	Poland	3	$88,198,077,337.00	4.0	10.0	$75,881,999,782.00	$46,290,991,055.00	5	$6,054,458,717.00	72744282629.0	7	$57,048,166,125.00	4532194546589227	4.0	$9,002,957,654.00	$56,049,695,907.00	$83,862,996,026.00
94eb8f85-e0a9-4190-a226-03c9e2d2ea4d	Cryptologic Inc.	12/13/1995	Canada	22	office	687-175-0790	sales@cryptologicinc.org	Idea Bank Spółka Akcyjna	Poland	5	$79,295,101,557.00	8.0	4.0	$38,859,755,035.00	$89,143,757,880.00	9	$72,463,555,237.00	62032073913.0	1	$71,243,681,886.00	4716496416544549	10.0	$56,420,871,727.00	$84,941,671,323.00	$71,402,905,719.00
0a5d71b5-81ac-4495-9f16-17da04d9b615	Eurotel Bratislava, A.S.	11/6/1984	Slovak Republic	44	office	597-184-4016	marketing@eurotelbratislavaas.org	Idea Bank Spółka Akcyjna	Poland	5	$70,252,095,548.00	8.0	0.0	$84,822,969,125.00	$21,587,910,932.00	8	$92,133,089,471.00	86547588431.0	7	$90,892,925,982.00	4854909010928506	3.0	$17,990,001,471.00	$94,203,224,295.00	$19,389,361,952.00
c434077a-a4b9-4a2b-9c22-d59fb66af8e5	China Yuchai International Ltd.	6/30/1978	Bermuda	48	office	303-120-3161	info@chinayuchaiinternationalltd.org	Idea Bank Spółka Akcyjna	Poland	7	$91,050,932,234.00	7.0	10.0	$39,246,761,470.00	$23,367,517,462.00	4	$69,885,129,358.00	85204569253.0	1	$97,792,985,358.00	4334758384314078	3.0	$72,340,801,686.00	$14,415,472,688.00	$28,673,267,470.00
28ce529c-14c6-4c54-bf63-4f5fae569fa3	Elan Corp plc	2/2/1991	Ireland	30	office	864-511-0083	contact@elancorpplc.org	Idea Bank Spółka Akcyjna	Poland	2	$86,697,613,922.00	10.0	0.0	$44,989,655,494.00	$82,553,102,530.00	9	$5,815,121,602.00	66881093734.0	6	$9,422,386,078.00	4539945268029509	4.0	$2,584,689,755.00	$29,556,544,517.00	$48,497,577,232.00
b2219b0e-a525-4f22-b9ff-f780c01b6d00	Rhodia	6/21/1975	France	7	office	583-692-6929	contact@rhodia.org	Idea Bank Spółka Akcyjna	Poland	0	$76,725,428,096.00	7.0	6.0	$58,720,790,166.00	$15,849,573,596.00	7	$54,149,160,898.00	97799915114.0	8	$57,410,387,490.00	4532702447081175	10.0	$21,900,495,696.00	$8,131,634,964.00	$65,309,136,370.00
536e0301-7918-475d-8eba-864c98511f72	Ekabel Hessen GmbH	3/15/1964	Germany	48	office	486-741-7082	info@ekabelhessengmbh.org	Idea Bank Spółka Akcyjna	Poland	2	$21,647,888,541.00	2.0	7.0	$27,770,648,256.00	$32,422,788,838.00	6	$16,750,280,782.00	11469737813.0	7	$95,796,105,911.00	4202416116725934	8.0	$6,967,650,825.00	$4,509,106,891.00	$51,177,353,274.00
6f3bfa68-3fbe-484d-8c51-80c5659025d6	Willis Group Ltd.	10/3/1982	United Kingdom	17	office	213-029-9893	hr@willisgroupltd.org	Idea Bank Spółka Akcyjna	Poland	3	$54,880,137,995.00	9.0	5.0	$48,229,680,223.00	$72,072,638,579.00	10	$17,326,635,374.00	54591920690.0	4	$67,239,403,249.00	4929471320888970	3.0	$65,542,911,337.00	$92,926,850,418.00	$48,835,459,508.00
02895057-1d61-4576-a475-9e9ad28024d4	ID Biomedical Corp.	10/9/1996	Canada	19	office	118-870-8437	marketing@idbiomedicalcorp.org	Idea Bank Spółka Akcyjna	Poland	6	$54,009,966,562.00	10.0	4.0	$53,393,984,887.00	$34,236,866,220.00	2	$7,830,461,368.00	98504727721.0	8	$79,070,323,376.00	4929063459918783	2.0	$79,255,806,565.00	$26,013,888,847.00	$10,799,145,007.00
b9c50519-ea28-43fa-bf9d-70ccaf5d895e	Guangshen Railway Co. Ltd.	3/19/1989	China	11	office	798-857-5135	headquarters@guangshenrailwaycoltd.org	Idea Bank Spółka Akcyjna	Poland	4	$97,815,427,181.00	4.0	10.0	$58,194,537,688.00	$59,915,995,193.00	4	$67,068,018,351.00	40364007896.0	7	$25,574,597,512.00	4532775864170440	5.0	$95,481,952,893.00	$72,634,584,848.00	$37,685,556,698.00
df98f86a-e21a-4c11-bb75-716aea0217fa	Aluminum Corp of China Ltd.	5/16/1982	China	30	office	814-039-1974	marketing@aluminumcorpofchinaltd.org	Idea Bank Spółka Akcyjna	Poland	0	$24,129,635,864.00	10.0	2.0	$61,454,973,930.00	$68,385,167,372.00	9	$64,987,235,488.00	69256756548.0	3	$61,355,197,771.00	4929374015450199	9.0	$6,569,329,963.00	$76,678,730,611.00	$34,014,389,024.00
6e9e27a6-f584-4fec-a9b2-00c364e6df21	Kubota Corp.	11/14/1977	Japan	25	office	128-152-1910	hr@kubotacorp.org	Idea Bank Spółka Akcyjna	Poland	3	$79,729,632,475.00	1.0	5.0	$62,375,755,830.00	$52,223,660,815.00	7	$79,222,233,021.00	83087292213.0	8	$17,635,009,047.00	4539145711915996	3.0	$31,715,361,987.00	$47,103,479,590.00	$8,060,893,035.00
4e0632de-851b-483b-b9e9-c5cd433603fa	Dynamic Oil & Gas Ltd.	11/24/1983	Canada	19	office	263-751-3055	marketing@dynamicoilgasltd.org	Idea Bank Spółka Akcyjna	Poland	8	$1,052,242,610.00	4.0	9.0	$78,394,001,707.00	$1,253,562,554.00	4	$80,942,771,353.00	47638106192.0	8	$77,618,793,170.00	4532620419163005	2.0	$32,260,148,891.00	$75,231,525,364.00	$74,947,931,727.00
