registeration_number	name	establied_date	country	number_of_employes	purpose	phone_number	email	bank_name	bank_country	open_new_credit_in_6_months	ammount_in_6_months	new_credit_in_12_months	new_credit_in_18_months	ammount_in_12_months	ammount_in_18_months	house_mortage	amount_of_house_mortage	amount_duee_mortage	house_property	total_house_amount	credit_card_number	actual_debit_credit_cards	monthly_income	savings	other_savings
33d454a8-14e0-433e-801c-1d8082b0e164	Chai-Na-Ta Corp.	4/7/1962	Canada	23	validation	533-768-9918	contact@chainatacorp.org	Natixis	France	10	$83,504,872,194.00	6.0	4.0	$31,697,516,055.00	$73,519,140,826.00	8	$66,555,777,792.00	67914512396.0	0	$72,590,147,774.00	4716213747104632	8.0	$1,076,798,388.00	$86,515,934,794.00	$19,256,606,253.00
940197ff-21a7-4911-85ba-123f71ab5779	CP Ships Ltd.	4/13/1987	Canada	7	validation	512-887-1880	headquarters@cpshipsltd.org	Natixis	France	2	$82,959,263,260.00	4.0	3.0	$19,750,109,124.00	$30,582,412,671.00	8	$1,507,190,383.00	13588982012.0	8	$24,706,951,805.00	4485188417925343	6.0	$99,710,135,111.00	$20,053,286,149.00	$96,069,874,561.00
37d3b4aa-25ae-4cd9-97e5-476c1a5234e1	Olicom A/S	11/23/1982	Denmark	11	validation	467-797-5753	reach@olicomas.org	Natixis	France	4	$4,120,846,329.00	0.0	7.0	$69,805,144,257.00	$36,941,374,497.00	2	$2,183,688,404.00	86499770117.0	9	$19,775,917,263.00	4485682574752425	7.0	$7,158,760,448.00	$75,980,986,428.00	$62,558,202,848.00
0815f288-380b-4b4e-b263-1f75dd69b72b	AXA	8/26/1989	France	17	validation	409-122-5419	reach@axa.org	Natixis	France	3	$94,784,559,436.00	3.0	2.0	$69,254,880,519.00	$46,694,511,002.00	3	$5,257,024,782.00	94069881665.0	0	$44,323,364,644.00	4556781929259195	8.0	$8,724,594,207.00	$92,017,210,712.00	$99,325,351,359.00
27ce7b74-7d6a-4d13-b91e-814f61dd179d	ABB Ltd.	8/20/1984	Switzerland	39	validation	688-160-3651	marketing@abbltd.org	Natixis	France	8	$61,861,347,245.00	8.0	1.0	$97,271,974,348.00	$78,919,004,479.00	2	$43,169,595,178.00	44798361307.0	9	$22,050,854,209.00	4485769052843907	3.0	$43,024,301,770.00	$44,419,958,313.00	$32,536,960,350.00
bb958bd0-5f24-4346-80f3-6615a1ebfd59	Forbes Medi-Tech Inc.	1/5/1994	Canada	38	validation	502-154-4493	marketing@forbesmeditechinc.org	Natixis	France	3	$85,170,402,983.00	8.0	2.0	$95,166,560,622.00	$75,481,223,635.00	1	$47,759,556,481.00	16763920998.0	3	$30,350,565,401.00	4716915109023560	9.0	$42,867,282,076.00	$70,740,354,176.00	$982,261,460.00
3b9e17d2-96d2-49a6-a4e9-745dcdad023e	Bennett Environmental Inc.	5/15/1962	Canada	39	validation	561-685-4405	sales@bennettenvironmentalinc.org	Natixis	France	6	$58,643,798,555.00	6.0	2.0	$53,185,630,200.00	$96,830,732,010.00	9	$85,781,046,980.00	72793690214.0	3	$79,997,355,785.00	4539139612751865	2.0	$95,888,358,037.00	$80,280,990,840.00	$71,261,126,357.00
b9c50519-ea28-43fa-bf9d-70ccaf5d895e	Guangshen Railway Co. Ltd.	3/19/1989	China	11	validation	798-857-5135	headquarters@guangshenrailwaycoltd.org	Natixis	France	6	$98,315,660,558.00	3.0	7.0	$68,497,844,684.00	$59,508,039,522.00	9	$4,091,015,953.00	74425635530.0	7	$41,175,229,280.00	4532701016805097	10.0	$20,786,822,406.00	$74,357,538,879.00	$51,528,503,376.00
94eb8f85-e0a9-4190-a226-03c9e2d2ea4d	Cryptologic Inc.	12/13/1995	Canada	22	validation	687-175-0790	sales@cryptologicinc.org	Natixis	France	9	$24,043,932,351.00	2.0	10.0	$71,985,294,861.00	$22,505,903,580.00	4	$61,644,930,229.00	67736253679.0	6	$10,543,034,340.00	4485192787885715	10.0	$10,496,949,220.00	$67,348,701,258.00	$82,572,598,752.00
0e83a8d8-b870-4565-b4c5-bdae05f42730	Tele Celular Sul Participacoes S.A.	12/7/1961	Brazil	48	validation	667-875-8361	sales@telecelularsulparticipacoessa.org	Natixis	France	3	$47,312,410,489.00	2.0	2.0	$52,640,132,194.00	$11,800,598,215.00	1	$8,735,886,331.00	17146426101.0	5	$51,887,628,294.00	4716284329553637	3.0	$32,959,554,311.00	$43,771,981,133.00	$72,359,622,147.00
